Date,Open,High,Low,Close,Adj Close,Volume
2018-07-31,1.660000,1.660000,1.660000,1.660000,1.660000,0
2018-08-01,1.645000,1.645000,1.645000,1.645000,1.645000,0
2018-08-02,1.585000,1.585000,1.585000,1.585000,1.585000,0
2018-08-03,1.560000,1.560000,1.560000,1.560000,1.560000,0
2018-08-06,1.560000,1.560000,1.560000,1.560000,1.560000,0
2018-08-07,1.580000,1.580000,1.580000,1.580000,1.580000,0
2018-08-08,1.550000,1.550000,1.550000,1.550000,1.550000,0
2018-08-09,1.530000,1.530000,1.530000,1.530000,1.530000,0
2018-08-10,1.500000,1.500000,1.500000,1.500000,1.500000,0
2018-08-13,1.500000,1.500000,1.500000,1.500000,1.500000,0
2018-08-14,1.465000,1.465000,1.465000,1.465000,1.465000,0
2018-08-15,1.420000,1.420000,1.420000,1.420000,1.420000,0
2018-08-16,1.420000,1.420000,1.420000,1.420000,1.420000,0
2018-08-17,1.385000,1.385000,1.385000,1.385000,1.385000,0
2018-08-20,1.365000,1.365000,1.365000,1.365000,1.365000,0
2018-08-21,0.984000,0.984000,0.984000,0.984000,0.984000,0
2018-08-22,0.978000,0.978000,0.978000,0.978000,0.978000,0
2018-08-23,0.998000,0.998000,0.998000,0.998000,0.998000,0
2018-08-24,1.000000,1.095000,1.000000,1.095000,1.095000,500
2018-08-27,1.000000,1.000000,1.000000,1.000000,1.000000,0
2018-08-28,1.000000,1.000000,1.000000,1.000000,1.000000,0
2018-08-29,0.996000,0.996000,0.996000,0.996000,0.996000,0
2018-08-30,0.994000,0.994000,0.994000,0.994000,0.994000,0
2018-08-31,0.974000,0.974000,0.974000,0.974000,0.974000,0
2018-09-03,0.948000,0.948000,0.948000,0.948000,0.948000,0
2018-09-04,0.950000,0.950000,0.950000,0.950000,0.950000,0
2018-09-05,0.888000,0.888000,0.888000,0.888000,0.888000,0
2018-09-06,0.836000,0.836000,0.836000,0.836000,0.836000,0
2018-09-07,0.832000,0.832000,0.832000,0.832000,0.832000,0
2018-09-10,0.808000,0.850000,0.808000,0.850000,0.850000,500
2018-09-11,0.800000,0.800000,0.800000,0.800000,0.800000,0
2018-09-12,0.780000,0.780000,0.780000,0.780000,0.780000,0
2018-09-13,0.756000,0.756000,0.756000,0.756000,0.756000,0
2018-09-14,0.766000,0.766000,0.766000,0.766000,0.766000,0
2018-09-17,0.830000,0.830000,0.830000,0.830000,0.830000,0
2018-09-18,0.802000,0.802000,0.802000,0.802000,0.802000,0
2018-09-19,0.788000,0.788000,0.788000,0.788000,0.788000,0
2018-09-20,0.756000,0.756000,0.756000,0.756000,0.756000,0
2018-09-21,0.750000,0.750000,0.750000,0.750000,0.750000,0
2018-09-24,0.772000,0.772000,0.772000,0.772000,0.772000,0
2018-09-25,0.808000,0.808000,0.808000,0.808000,0.808000,0
